Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
16/06/2016,213.9303741,215.5409306,211.9034801,214.960255,9372207
17/06/2016,213.6235962,214.4453155,212.5718036,214.0837573,10534878
20/06/2016,216.976181,217.5020773,212.1116444,213.020996,10758608
21/06/2016,216.2969055,217.8417267,214.6753933,217.8307708,13933068
22/06/2016,214.8506927,216.0339557,214.1056645,215.8367501,12788710
23/06/2016,214.8397369,215.1793688,212.5498875,214.7301783,9837526
24/06/2016,208.4851379,211.432354,204.5299674,211.432354,24985097
27/06/2016,209.4054718,210.0080592,206.0857561,206.0857561,9163399
28/06/2016,209.8766022,210.6983216,209.2630589,209.5698379,7604977
29/06/2016,211.8706055,212.3198107,210.3586519,210.7969012,7523987
30/06/2016,212.3636322,214.1933206,211.9034711,212.9881313,12758283
01/07/2016,213.3058929,214.0399508,212.5499087,213.1525108,6610193
04/07/2016,216.2092438,217.7211973,213.755071,213.755071,7803505
05/07/2016,217.6116333,219.7590418,214.8068582,216.077768,11359882
07/07/2016,216.4721832,219.2331347,216.0887133,217.4801522,12029091
08/07/2016,214.3905334,216.7132359,213.9413282,216.2750012,7140617
11/07/2016,217.4801788,218.017031,215.9463135,217.1514882,8266601
12/07/2016,219.8686218,220.2192096,217.151479,218.0827569,9767494
13/07/2016,221.0409088,222.7829355,220.0329399,220.263013,14915296
14/07/2016,220.1972961,222.2132342,218.7401219,220.8985009,10758372
15/07/2016,221.7968903,223.7251814,219.8905255,221.0957001,13992989
18/07/2016,220.4931183,227.6146368,219.507061,225.2590522,32106850
19/07/2016,223.0240021,224.1524857,218.0937154,220.4383442,16649300
20/07/2016,224.1634521,225.3248034,222.7501013,223.4951296,12265316
21/07/2016,220.5150146,224.6016699,220.2191916,224.3825379,6711097
22/07/2016,222.377594,223.0240048,220.2411267,220.4383469,6899519
25/07/2016,224.1086578,224.3277752,220.7341483,222.1913225,8241568
26/07/2016,224.3935242,226.7491089,222.4542917,224.1634509,10516399
27/07/2016,221.9941101,224.8207969,221.0847439,224.1743861,11030767
28/07/2016,224.8974915,225.8068577,221.9831577,222.3994952,15610838
29/07/2016,222.3885651,224.5797973,221.7530954,224.382577,9629597
